task_id,official_reward,loom_arm_reward,loom_x86_reward,concordance,loom_arm_arch,loom_x86_arch,loom_arm_failure,loom_x86_failure
anthropic-poster-design/anthropic-poster-design-1,1.0,0.0,0.0,loom_agrees_official_dissents,,,,
anthropic-poster-design/anthropic-poster-design-2,0.0,0.0,0.0,three_way_match,,,,
anthropic-poster-design/anthropic-poster-design-3,1.0,0.0,0.0,loom_agrees_official_dissents,,,,
anthropic-poster-design/anthropic-poster-design-4,0.0,0.0,0.0,three_way_match,,,,
anthropic-poster-design/anthropic-poster-design-5,1.0,0.0,0.0,loom_agrees_official_dissents,,,,
chinese-poem-generator/chinese-poem-generator-1,1.0,1.0,1.0,three_way_match,,,,
chinese-poem-generator/chinese-poem-generator-2,0.0,1.0,0.0,arm_dissents,,,,
chinese-poem-generator/chinese-poem-generator-3,1.0,0.0,0.0,loom_agrees_official_dissents,,,,
chinese-poem-generator/chinese-poem-generator-4,0.0,0.0,1.0,x86_dissents,,,,
chinese-poem-generator/chinese-poem-generator-5,1.0,0.0,1.0,arm_dissents,,,,
court-form-filling/court-form-filling-1,0.0,0.0,0.0,three_way_match,,,,
court-form-filling/court-form-filling-2,0.0,0.0,0.0,three_way_match,,,,
court-form-filling/court-form-filling-3,0.0,0.0,0.0,three_way_match,,,,
court-form-filling/court-form-filling-4,0.0,0.0,0.0,three_way_match,,,,
court-form-filling/court-form-filling-5,0.0,0.0,0.0,three_way_match,,,,
court-form-filling/court-form-filling-6,0.0,0.0,0.0,three_way_match,,,,
dbscan-parameter-tuning/dbscan-parameter-tuning-1,1.0,1.0,1.0,three_way_match,,,,
dbscan-parameter-tuning/dbscan-parameter-tuning-2,1.0,1.0,1.0,three_way_match,,,,
dbscan-parameter-tuning/dbscan-parameter-tuning-3,1.0,1.0,1.0,three_way_match,,,,
dbscan-parameter-tuning/dbscan-parameter-tuning-4,0.0,1.0,1.0,loom_agrees_official_dissents,,,,
dbscan-parameter-tuning/dbscan-parameter-tuning-5,0.0,1.0,1.0,loom_agrees_official_dissents,,,,
dependency-vulnerability-check/dependency-vulnerability-check-1,0.0,1.0,0.0,arm_dissents,,,,
dependency-vulnerability-check/dependency-vulnerability-check-2,0.0,0.0,0.0,three_way_match,,,,
dependency-vulnerability-check/dependency-vulnerability-check-3,0.0,0.0,0.0,three_way_match,,,,
dependency-vulnerability-check/dependency-vulnerability-check-4,0.0,0.0,1.0,x86_dissents,,,,
